item,itemLabel
Q101110902,Esther Ervin
Q255294,Vanessa_Bell
Q6500196,Lauren_Elder
Q102250013,Marcelin_Bossou
Q225283,Annie_Leibovitz
Q7397924,Sadie_Irvine
Q9298572,Loretta_Yang
Q101212888,Mark Le Buse
Q5702008,Helen_Chadwick
Q6558408,Lisa_Sigal
Q102329,Walter-Herwig_Schuchhardt
Q234608,Diane_Arbus
Q3849278,Marion_Wallace_Dunlop
Q3073777,Flo_Ankah
Q101268791,Ann Mortimer
Q7799903,Thérèse_Oulton
Q1163904,Danielle_de_Picciotto
Q102354287,Fil_Hearn
Q112033,Inge_Morath
Q3016973,Dat_So_La_Lee
Q6766231,Marjorie_Cameron
Q101383,Hans Reffert
Q11860480,Gillian_Ayres
Q5044243,Carol_Anthony
Q102397098,Matthew_P._Canepa
Q204936,Kate_Greenaway
Q4767238,Anna_Livia_Löwendahl-Atomic
Q3607216,Aisha_Hinds
Q101399295,Fanny Munró
Q235318,Paula_Rego
Q6660086,Liz_Cohen
Q10261573,Cris_Vianna
Q449054,Nina_Hamnett
Q6304490,Judy_Jensen
Q2941871,Catherine_Corsini
Q101437130,Sarah Ezekiel
Q5039223,Carey_Young
Q5359179,Eleni_Oikonomopoulou
Q10289562,Gilberto_Mendes_(actor)
Q459378,Beatrice_Wood
Q6370358,Kari_edwards
Q5043353,Carmelita_Tropicana
Q101439304,Suwa Kanenori
Q4421330,Lucy_Skaer
Q3079740,Yi_Zhou
Q10328338,Mel_Gambôa
Q453639,Eve_Plumb
Q3296185,Mary_Gregory
Q5170593,Corinne_Malvern
Q101439879,Vivian Springford
Q5052986,Catherine_Yass
Q515783,Denise_René
Q103498,Henriette_Hertz
Q228899,Linda_McCartney
Q6771884,Marlise_Keith
Q6754513,Mara_McAfee
Q101521,Diedrich Diederichsen
Q5045009,Caroline_Chariot-Dayez
Q7354114,Rocio_Urquijo
Q103642,Frieder_Burda
Q2291231,Marjolein_Bastin
Q16210940,Jess_Dobkin
Q118952,Elsie_Attenhofer
Q101539890,Andy Gaskill
Q235281,Helen_Frankenthaler
Q4647728,A._E._London
Q103873,Michael_Felke
Q515745,Pamela_Colman_Smith
Q4954568,Saskia_Holmkvist
Q6155165,Janne_Mortil
Q101800795,Michael Anthony Simon
Q465000,Elizabeth_Siddal
Q7560902,Sondra_Lipton
